raw_text;law_id;record_id;decisions_title_bcs;decisions_title
Rezultati glasanja Sjednica: 7. sjednica Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-07-15 13:21 Nacin glasanja: otvoreno Redni broj: Tacka 3 Glasanje o: Prijedlogu zakljucka delegata Halida Genjca, predlozenog na nastavku 36. sjednice Doma naroda Parlamentarne skupstine BiH Tip glasanje: Drugi krug Prisutno 14 Ukupno 14 ZA 7 PROTIV 5 SUZDRZAN 2 Safet Softic Delegat FBiH ZA Halid Genjac Delegat FBiH ZA Fahrudin Radoncic Delegat FBiH Nije prisutan Sifet Podzic Delegat FBiH ZA Sead Kadic Delegat FBiH ZA Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH ZA Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH SUZDRZAN Ljilja Zovko Delegat FBiH SUZDRZAN Ognjen Tadic Delegat RS PROTIV Dragutin Rodic Delegat RS PROTIV Darko Babalj Delegat RS PROTIV Sredoje Novic Delegat RS PROTIV Nebojsa Radmanovic Delegat RS PROTIV | _ZA_—\9 PROTIV_| SUZDRZAN |_ NIJE PRISUTAN | UKUPNO__—_ FBIH TO 2 Pa RS POP 50 5 UKUPNO) 75 200 1 s;12303;116001; Prijedlogu zakljucka delegata Halida Genjca, predlozenog na nastavku 36. sjednice Doma naroda Parlamentarne skupstine BiH ;Proposal for the conclusion of Delegate Halid Genjac, proposed at the continuation of the 36th session of the House of Peoples of the BiH Parliamentary Assembly
Rezultati glasanja Sjednica: 7. sjednica Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-07-15 13:23 Nacin glasanja: otvoreno Redni broj: Tacka 3 Glasanje o: Prijedlogu zakona o izmjenama i dopunama Zakona o prebivalistu i boravistu drzavljana Bosne i Hercegovine po hitnom postupku, u skladu sa clanom 122. Poslovnika Doma naroda Tip glasanje: Prvi krug Prisutno 14 Ukupno 14 ZA 10 PROTIV 4 SUZDRZAN 0 Safet Softic Delegat FBiH PROTIV Halid Genjac Delegat FBiH PROTIV Fahrudin Radoncic Delegat FBiH Nije prisutan Sifet Podzic Delegat FBiH PROTIV Sead Kadic Delegat FBiH PROTIV Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH ZA Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH ZA Ljilja Zovko Delegat FBiH ZA Ognjen Tadic Delegat RS ZA Dragutin Rodic Delegat RS ZA Darko Babalj Delegat RS ZA Sredoje Novic Delegat RS ZA Nebojsa Radmanovic Delegat RS ZA | _ZA_—\9 PROTIV_| SUZDRZAN |_ NIJE PRISUTAN | UKUPNO__—_ FBIH SA dP a KORI II II II I PTT UKUPNO) 10 400 1 s;12303;116002; Prijedlogu zakona o izmjenama i dopunama Zakona o prebivalistu i boravistu drzavljana Bosne i Hercegovine po hitnom postupku, u skladu sa clanom 122. Poslovnika Doma naroda ;Proposal of Law on Amendments to the Law on Residence and Residence of Citizens of Bosnia and Herzegovina by Urgent Procedure, Pursuant to Article 122 of the Rules of Procedure of the House of Peoples
Rezultati glasanja Sjednica: Nastavak 3. sjednice Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-03-30 11:32 Nacin glasanja: otvoreno Redni broj: Tacka 3 Glasanje o: Prijedlogu zakona o izmjenama i dopunama Krivicnog zakona Bosne i Hercegovine u prvom citanju Tip glasanje: Ponovljeno (Drugi krug) Prisutno 15 Ukupno 15 ZA 10 PROTIV 5 SUZDRZAN 0 Safet Softic Delegat FBiH ZA Halid Genjac Delegat FBiH ZA Fahrudin Radoncic Delegat FBiH ZA Sifet Podzic Delegat FBiH ZA Sead Kadic Delegat FBiH ZA Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH ZA Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH ZA Ljilja Zovko Delegat FBiH ZA Ognjen Tadic Delegat RS PROTIV Dragutin Rodic Delegat RS PROTIV Darko Babalj Delegat RS PROTIV Sredoje Novic Delegat RS PROTIV Nebojsa Radmanovic Delegat RS PROTIV | _ZA_—\9 PROTIV_| SUZDRZAN |_ NIJE PRISUTAN | UKUPNO__—_ KI CI II II I IP RS OPS 0 5 UKUPNO) 10 50 0 | s;14371;109572; Prijedlogu zakona o izmjenama i dopunama Krivicnog zakona Bosne i Hercegovine u prvom citanju ;Proposal of Law on Amendments to the Criminal Code of Bosnia and Herzegovina in the First Reading
"Rezultati glasanja Sjednica: 2. sjednica Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-03-05 12:16 Nacin glasanja: otvoreno Redni broj: Tacka 6 Glasanje o: Prijedlogu zakona o izmjenama i dopunama Zakona o politici direktnih stranih ulaganja u Bosni i Hercegovini (drugo citanje), predlagac: Vijeca ministara BiH, zakon broj: 01,02-02-1-30/14, od 17.7.2014.; Tip glasanje: Prvi krug Prisutno 14 Ukupno 14 ZA 14 PROTIV 0 SUZDRZAN 0 Safet Softic Delegat FBiH ZA Halid Genjac Delegat FBiH ZA Fahrudin Radoncic Delegat FBiH Nije prisutan Sifet Podzic Delegat FBiH ZA Sead Kadic Delegat FBiH ZA Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH ZA Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH ZA Ljilja Zovko Delegat FBiH ZA Ognjen Tadic Delegat RS ZA Dragutin Rodic Delegat RS ZA Darko Babalj Delegat RS ZA Sredoje Novic Delegat RS ZA Nebojsa Radmanovic Delegat RS ZA U _ZA_—\| PROTIV | SUZDRZAN | NIJE PRISUTAN | UKUPNO __| KI EI I IE I RS SO 0 5 UKUPNOJ 14 00 dP so";14699;108249;" Prijedlogu zakona o izmjenama i dopunama Zakona o politici direktnih stranih ulaganja u Bosni i Hercegovini (drugo citanje), predlagac: Vijeca ministara BiH, zakon broj: 01,02-02-1-30/14, od 17.7.2014.; ";"Proposal of the Law on Amendments to the Law on Foreign Direct Investment Policy in Bosnia and Herzegovina (second reading), proposer: Council of Ministers of BiH, Law No: 01.02-02-1-30 / 14, dated 17 July 2014;"
"Rezultati glasanja Sjednica: 2. sjednica Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-03-05 12:19 Nacin glasanja: otvoreno Redni broj: Tacka 7 Glasanje o: Prijedlogu zakona o izmjenama i dopunama Zakona o placama i drugim naknadama u sudskim i tuzilackim institucijama na nivou Bosne i Hercegovine (prvo citanje), predlagac: Vijece ministara BiH, broj: 01,02-02-1-31/14, od 22. 7. 2014.; Tip glasanje: Ponovljeno (Prvi krug) Prisutno 13 Ukupno 13 ZA 8 PROTIV 5 SUZDRZAN 0 Safet Softic Delegat FBiH Nije prisutan Halid Genjac Delegat FBiH ZA Fahrudin Radoncic Delegat FBiH Nije prisutan Sifet Podzic Delegat FBiH ZA Sead Kadic Delegat FBiH ZA Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH ZA Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH ZA Ljilja Zovko Delegat FBiH ZA Ognjen Tadic Delegat RS PROTIV Dragutin Rodic Delegat RS PROTIV Darko Babalj Delegat RS PROTIV Sredoje Novic Delegat RS PROTIV Nebojsa Radmanovic Delegat RS PROTIV U _ZA__\| PROTIV_| SUZDRZAN | NIJE PRISUTAN | UKUPNO__—_ FBIH} BO 2 oo KO II I I I DIE UKUPNO) 85020 bs";14831;108250;" Prijedlogu zakona o izmjenama i dopunama Zakona o placama i drugim naknadama u sudskim i tuzilackim institucijama na nivou Bosne i Hercegovine (prvo citanje), predlagac: Vijece ministara BiH, broj: 01,02-02-1-31/14, od 22. 7. 2014.; ";"Proposal of the Law on Amendments to the Law on Salaries and Other Compensation in Judicial and Prosecutorial Institutions at the level of Bosnia and Herzegovina (first reading), proposer: Council of Ministers of BiH, No. 01.02-02-1-31 / 14, dated 22 7. 2014 .;"
Rezultati glasanja Sjednica: Nastavak 3. sjednice Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-03-30 11:38 Nacin glasanja: otvoreno Redni broj: Tacka 4 Glasanje o: Prijedlogu zakona o izmjenama i dopunama Zakona o placama i drugim naknadama u sudskim i tuzilackim institucijama na nivou Bosne i Hercegovine Tip glasanje: Drugi krug Prisutno 15 Ukupno 15 ZA 10 PROTIV 5 SUZDRZAN 0 Safet Softic Delegat FBiH ZA Halid Genjac Delegat FBiH ZA Fahrudin Radoncic Delegat FBiH ZA Sifet Podzic Delegat FBiH ZA Sead Kadic Delegat FBiH ZA Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH ZA Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH ZA Ljilja Zovko Delegat FBiH ZA Ognjen Tadic Delegat RS PROTIV Dragutin Rodic Delegat RS PROTIV Darko Babalj Delegat RS PROTIV Sredoje Novic Delegat RS PROTIV Nebojsa Radmanovic Delegat RS PROTIV U _ZA__\| PROTIV_| SUZDRZAN | NIJE PRISUTAN | UKUPNO__—_ KI EI II I I KO II I I I DIE UKUPNOJ 10 5 0 0 s;14831;109573; Prijedlogu zakona o izmjenama i dopunama Zakona o placama i drugim naknadama u sudskim i tuzilackim institucijama na nivou Bosne i Hercegovine ;Proposal of the Law on Amendments to the Law on Salaries and Other Compensation in Judicial and Prosecutorial Institutions at the Level of Bosnia and Herzegovina
"Rezultati glasanja Sjednica: 2. sjednica Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-03-05 12:22 Nacin glasanja: otvoreno Redni broj: Tacka 8 Glasanje o: Prijedlogu zakona o obligacionim odnosima u civilnom zrakoplovstvu Bosne i Hercegovine (prvo citanje), predlagac: Vijece ministara BiH, zakon broj: 01,02-02-1-33/14, od 24.7.2014.; Tip glasanje: Prvi krug Prisutno 14 Ukupno 14 ZA 14 PROTIV 0 SUZDRZAN 0 Safet Softic Delegat FBiH ZA Halid Genjac Delegat FBiH ZA Fahrudin Radoncic Delegat FBiH Nije prisutan Sifet Podzic Delegat FBiH ZA Sead Kadic Delegat FBiH ZA Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH ZA Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH ZA Ljilja Zovko Delegat FBiH ZA Ognjen Tadic Delegat RS ZA Dragutin Rodic Delegat RS ZA Darko Babalj Delegat RS ZA Sredoje Novic Delegat RS ZA Nebojsa Radmanovic Delegat RS ZA | _ZA_—\9 PROTIV_| SUZDRZAN |_ NIJE PRISUTAN | UKUPNO__—_ KI I II II IP PI KORI II II II I PTT UKUPNO) 1400 00 1 s";14859;108251;" Prijedlogu zakona o obligacionim odnosima u civilnom zrakoplovstvu Bosne i Hercegovine (prvo citanje), predlagac: Vijece ministara BiH, zakon broj: 01,02-02-1-33/14, od 24.7.2014.; ";"Proposal for a Law on Obligations in Civil Aviation of Bosnia and Herzegovina (first reading), proposer: BiH Council of Ministers, Law No. 01,02-02-1-33 / 14, dated 24 July 2014;"
Rezultati glasanja Sjednica: 4. sjednica Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-05-18 13:18 Nacin glasanja: otvoreno Redni broj: Tacka 7 Glasanje o: Amandmanu I. delegata Halida Genjca Tip glasanje: Prvi krug Prisutno 14 Ukupno 14 ZA 14 PROTIV 0 SUZDRZAN 0 Safet Softic Delegat FBiH ZA Halid Genjac Delegat FBiH ZA Fahrudin Radoncic Delegat FBiH ZA Sifet Podzic Delegat FBiH ZA Sead Kadic Delegat FBiH ZA Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH Nije prisutan Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH ZA Ljilja Zovko Delegat FBiH ZA Ognjen Tadic Delegat RS ZA Dragutin Rodic Delegat RS ZA Darko Babalj Delegat RS ZA Sredoje Novic Delegat RS ZA Nebojsa Radmanovic Delegat RS ZA | _ZA_—\9 PROTIV_| SUZDRZAN | NIJE PRISUTAN | UKUPNO__—_ KI I II I IP PI RS 5000 5 UKUPNOJ 14000 dp so;14859;112392; Amandmanu I. delegata Halida Genjca ;Amendment by Delegate Halid Genjac
Rezultati glasanja Sjednica: 4. sjednica Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-05-18 13:19 Nacin glasanja: otvoreno Redni broj: Tacka 7 Glasanje o: Amandmanu II. delegata Halida Genjca Tip glasanje: Prvi krug Prisutno 14 Ukupno 14 ZA 14 PROTIV 0 SUZDRZAN 0 Safet Softic Delegat FBiH ZA Halid Genjac Delegat FBiH ZA Fahrudin Radoncic Delegat FBiH ZA Sifet Podzic Delegat FBiH ZA Sead Kadic Delegat FBiH ZA Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH Nije prisutan Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH ZA Ljilja Zovko Delegat FBiH ZA Ognjen Tadic Delegat RS ZA Dragutin Rodic Delegat RS ZA Darko Babalj Delegat RS ZA Sredoje Novic Delegat RS ZA Nebojsa Radmanovic Delegat RS ZA | _ZA_—\9 PROTIV_| SUZDRZAN | NIJE PRISUTAN | UKUPNO__—_ KI I II I IP PI RS 5000 5 UKUPNOJ 14000 dp so;14859;112393; Amandmanu II. delegata Halida Genjca ;Amendment II. delegate Halid Genjac
"Rezultati glasanja Sjednica: 4. sjednica Doma naroda Parlamentarne skupstine Bosne i Hercegovine Datum odrzavanja: 2015-05-18 13:19 Nacin glasanja: otvoreno Redni broj: Tacka 7 Glasanje o: Prijedlogu zakona o obligacionim odnosima u civilnom zrakoplovstu Bosne i Hercegovine (drugo citanje), predlagac: Vijece ministara BiH, zakon broj:01,02-02-1-33/14, od 24.7.2014.; Tip glasanje: Prvi krug Prisutno 14 Ukupno 14 ZA 14 PROTIV 0 SUZDRZAN 0 Safet Softic Delegat FBiH ZA Halid Genjac Delegat FBiH ZA Fahrudin Radoncic Delegat FBiH ZA Sifet Podzic Delegat FBiH ZA Sead Kadic Delegat FBiH ZA Zdenka Dzambas Delegat FBiH ZA Martin Raguz Delegat FBiH Nije prisutan Barisa Colak Delegat FBiH ZA Mario Karamatic Delegat FBiH ZA Ljilja Zovko Delegat FBiH ZA Ognjen Tadic Delegat RS ZA Dragutin Rodic Delegat RS ZA Darko Babalj Delegat RS ZA Sredoje Novic Delegat RS ZA Nebojsa Radmanovic Delegat RS ZA | _ZA_—\9 PROTIV_| SUZDRZAN | NIJE PRISUTAN | UKUPNO__—_ KI I II I IP PI KORI I II II I DI UKUPNO) 14 00 1 s";14859;112394;" Prijedlogu zakona o obligacionim odnosima u civilnom zrakoplovstu Bosne i Hercegovine (drugo citanje), predlagac: Vijece ministara BiH, zakon broj:01,02-02-1-33/14, od 24.7.2014.; ";"Proposal for a Law on Obligations in Civil Aviation of Bosnia and Herzegovina (Second reading), proposer: BiH Council of Ministers, Law No. 01,02-02-1-33 / 14, dated 24 July 2014;"
