name;name_clean;party;gender;income_category_19;executive_n;executive_non_remunerated_n;other_n;honorary_n;total_n
Alexander Melchior;Alexander Melchior;ÖVP;male;4;0;0;2;3;5
Alois Kainz;Alois Kainz;FPÖ;male;2;0;0;2;3;5
Alois Schroll;Alois Schroll;SPÖ;male;3;0;0;1;12;13
Alois Stöger, diplômé;Alois Stöger;SPÖ;male;3;0;0;1;8;9
Andreas Kollross;Andreas Kollross;SPÖ;male;3;1;1;3;10;14
Andreas Kühberger;Andreas Kühberger;ÖVP;male;3;0;0;2;7;9
Andreas Minnich;Andreas Minnich;ÖVP;male;3;2;0;3;5;10
Andreas Ottenschläger;Andreas Ottenschläger;ÖVP;male;4;5;4;0;6;11
Angela Baumgartner;Angela Baumgartner;ÖVP;female;3;0;0;1;1;2
August Wöginger;August Wöginger;ÖVP;male;0;0;0;0;5;5
Barbara Neßler;Barbara Neßler;GRÜNE;female;0;0;0;0;2;2
Bedrana Ribo, MA;Bedrana Ribo;GRÜNE;female;2;0;0;2;1;3
Bettina Zopf;Bettina Zopf;ÖVP;female;2;0;0;4;4;8
Carina Reiter;Carina Reiter;ÖVP;female;2;0;0;3;18;21
Christian Hafenecker, MA;Christian Hafenecker;FPÖ;male;3;0;0;3;5;8
Christian Lausch;Christian Lausch;FPÖ;male;1;0;0;2;2;4
Christian Ries;Christian Ries;FPÖ;male;2;0;0;2;6;8
Christoph Stark;Christoph Stark;ÖVP;male;4;3;1;2;7;12
Christoph Zarits;Christoph Zarits;ÖVP;male;3;1;1;2;5;8
Claudia Plakolm;Claudia Plakolm;ÖVP;female;1;0;0;1;5;6
Clemens Stammler;NA;NA;NA;NA;0;0;2;4;6
Cornelia Ecker;Cornelia Ecker;SPÖ;female;2;2;1;0;9;11
David Stögmüller;David Stögmüller;GRÜNE;male;1;0;0;1;6;7
Dietmar Keck;Dietmar Keck;SPÖ;male;3;0;0;1;9;10
Dipl.-Ing. Georg Strasser;Georg Strasser;ÖVP;male;2;0;0;2;2;4
Dipl.-Ing. Gerhard Deimek;Gerhard Deimek;FPÖ;male;1;0;0;2;3;5
Dipl.-Ing. Karin Doppelbauer;Karin Doppelbauer;NEOS;female;5;0;0;2;0;2
Dipl.-Ing. Nikolaus Berlakovich;Nikolaus Berlakovich;ÖVP;male;1;3;3;1;6;10
Dipl.-Ing. Olga Voglauer;Olga Voglauer;GRÜNE;female;2;0;0;3;2;5
Dipl.-Kffr. (FH) Elisabeth Pfurtscheller;Elisabeth Pfurtscheller;ÖVP;female;1;2;1;0;3;5
Doris Bures;Doris Bures;SPÖ;female;0;0;0;0;8;8
