type;id;geometry;properties_skz_vj;properties_ipub2_typ_vj;properties_skz_laufend;properties_ipub2_typ_laufend;properties_karto_typ;properties_bezeichnung;properties_plz;properties_ort;properties_str;properties_anzahl;properties_x_s2;properties_y_s2;properties_ipub2_bezeichnung;school_link
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4a2;NA;923081;01;923042;02a;NMSH;Neue Mittelschule;1230;Wien;Dirmhirngasse 138;10;1812595,22;6129624,41;Neue Mittelschule an Hauptschulen;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4a3;NA;923081;01;923046;05a;NMSA;Bundesrealgymnasium mit Modellversuch Neue Mittelschule;1230;Wien;Anton-Krieger-Gasse 25; 9;1812226,97;6130263,31;Neue Mittelschule an AHS;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4a4;NA;923081;01;923092;02a;NMSH;Neue Mittelschule 23;1230;Wien;Carlbergergasse 72; 5;1816108,55;6130231,37;Neue Mittelschule an Hauptschulen;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4a5;NA;923081;01;923052;02a;NMSH;Neue Mittelschule;1230;Wien;Bendagasse 1-2; 5;1810895,04;6132223,34;Neue Mittelschule an Hauptschulen;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4a6;NA;923081;01;923066;05;AHS;Bundesrealgymnasium;1230;Wien;Anton Baumgartner-Straße 123; 5;1816122,40;6131865,58;AHS-Unterstufe;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4a7;NA;923081;01;923012;02a;NMSH;Neue Mittelschule;1230;Wien;Steinergasse 25; 4;1813467,10;6131038,23;Neue Mittelschule an Hauptschulen;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4a8;NA;923081;01;317036;05;AHS;Bundesgymnasium und Bundesrealgymnasium;2380;Perchtoldsdorf;Roseggergasse 2-4; 0;1810131,09;6127026,77;AHS-Unterstufe;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4a9;NA;923081;01;923062;02a;NMSH;Private Neue Mittelschule des Schulvereines Institut Sancta Christiana;1230;Wien;Willergasse 55; 0;1809514,60;6128781,99;Neue Mittelschule an Hauptschulen;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4aa;NA;923081;01;915016;05;AHS;Bundesrealgymnasium;1150;Wien;Henriettenplatz 6; 0;1818094,31;6138593,74;AHS-Unterstufe;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4ab;NA;923081;01;910042;02a;NMSH;Neue Mittelschule;1100;Wien;Herzgasse 27; 0;1822010,44;6136403,64;Neue Mittelschule an Hauptschulen;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
Feature;ATLAS_SCHULE_UEBERTRITT_OUT_WFS.fid--a89b1a8_17086723000_4ac;NA;923081;01;914046;05a;AHS;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;1140;Wien;Steinbruchstraße 33; 0;1814655,29;6140990,85;Neue Mittelschule an AHS;https://www.statistik.at/gs-atlas/ATLAS_SCHULE_WFS/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=ATLAS_SCHULE_WFS:ATLAS_SCHULE_UEBERTRITT_OUT_WFS&maxFeatures=500&outputFormat=application%2Fjson&viewparams=SKZ:923081
