type;id;properties_skz;properties_gmnr;properties_gemname;properties_bezeichnung;properties_str;properties_plz;properties_ort;properties_erhalter;properties_erhalter2;properties_karto_typ;properties_klassen;properties_schueler_insg;properties_schueler_m;properties_schueler_w;school_adress;lat;long
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6d04;923081;92301;Wien-Liesing;Volksschule;Korbgasse 1;1230;Wien;öffentl.;13;VS; 9;200;112; 88;Korbgasse 1, 1230 Wien;48,1365780;16,2750211
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6d03;923101;92301;Wien-Liesing;Volksschule;Fürst Liechtenstein-Straße 17;1230;Wien;öffentl.;13;VS;10;226;124;102;Fürst Liechtenstein-Straße 17, 1230 Wien;48,1360686;16,2597188
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6d02;923011;92301;Wien-Liesing;Volksschule;Kirchenplatz 2-3;1230;Wien;öffentl.;13;VS;10;220;116;104;Kirchenplatz 2-3, 1230 Wien;48,1476943;16,2946485
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6d01;923161;92301;Wien-Liesing;Volksschule;Akaziengasse 52-54;1230;Wien;öffentl.;13;VS;11;234;111;123;Akaziengasse 52-54, 1230 Wien;48,1289213;16,3146712
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6d00;923201;92301;Wien-Liesing;Volksschule;Alma-Seidler-Weg 2;1230;Wien;öffentl.;13;VS;12;260;142;118;Alma-Seidler-Weg 2, 1230 Wien;48,1481636;16,3120419
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cff;923181;92301;Wien-Liesing;Volksschule II;Anton Baumgartner-Straße 44/II;1230;Wien;öffentl.;13;VS;12;293;155;138;Anton Baumgartner-Straße 44/II, 1230 Wien;48,1514770;16,3144640
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cfe;923061;92301;Wien-Liesing;Volksschule;Erlaaer Straße 74;1230;Wien;öffentl.;13;VS;14;337;174;163;Erlaaer Straße 74, 1230 Wien;48,1424935;16,3122243
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cfd;923041;92301;Wien-Liesing;Volksschule I;Anton Baumgartner-Straße 44/I;1230;Wien;öffentl.;13;VS;15;349;177;172;Anton Baumgartner-Straße 44/I, 1230 Wien;48,1502442;16,3107987
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cfc;923031;92301;Wien-Liesing;Volksschule II;Prückelmayrgasse 6;1230;Wien;öffentl.;13;VS;17;394;216;178;Prückelmayrgasse 6, 1230 Wien;48,1446982;16,2840634
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cfb;923071;92301;Wien-Liesing;Volksschule;Draschestraße 96;1230;Wien;öffentl.;13;VS;18;380;199;181;Draschestraße 96, 1230 Wien;48,1498060;16,3476315
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cfa;923051;92301;Wien-Liesing;Volksschule;Anton Baumgartner-Straße 119;1230;Wien;öffentl.;13;VS;20;433;227;206;Anton Baumgartner-Straße 119, 1230 Wien;48,1504058;16,3186675
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf9;923151;92301;Wien-Liesing;Volksschule;Bendagasse 1-2;1230;Wien;öffentl.;13;VS;23;547;270;277;Bendagasse 1-2, 1230 Wien;48,1522597;16,2675469
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf8;923241;92301;Wien-Liesing;Priv. Volksschule Tankstelle- d.Schule d.Vereins Verein z.Betrieb d.kath.Privatsch. m.ökum.Schwerp.Tankst.d.Schule;Endresstraße 59 C;1230;Wien;privat;21;VS; 2; 38; 19; 19;Endresstraße 59 C, 1230 Wien;48,1478691;16,2805479
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf7;923191;92301;Wien-Liesing;Volksschule Kollegium Kalksburg der Vereinigung von Ordensschulen Österreichs;Promenadeweg 3;1230;Wien;privat;21;VS; 8;185; 99; 86;Promenadeweg 3, 1230 Wien;48,1344841;16,2457424
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf6;923121;92301;Wien-Liesing;Private Volksschule des Schulvereines Institut Sancta Christiana;Willergasse 55;1230;Wien;privat;21;VS; 8;190; 85;105;Willergasse 55, 1230 Wien;48,1316310;16,2551461
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf5;923131;92301;Wien-Liesing;Volksschule St. Ursula Wien;Franz Asenbauer-Gasse 49;1230;Wien;privat;21;VS; 9;225;102;123;Franz Asenbauer-Gasse 49, 1230 Wien;48,1564090;16,2644965
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf4;923171;92301;Wien-Liesing;Private Volksschule der Schulstiftung der Erzdiözese Wien;Maurer Lange-Gasse 115;1230;Wien;privat;21;VS;12;276;147;129;Maurer Lange-Gasse 115, 1230 Wien;48,1481861;16,2611417
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf3;922391;92201;Wien-Donaustadt;Volksschule;Wagramer Straße 224B;1220;Wien;öffentl.;13;VS; 2; 39; 23; 16;Wagramer Straße 224B, 1220 Wien;48,2621192;16,4529692
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf2;922331;92201;Wien-Donaustadt;Volksschule;Leonhard Bernstein-Str. 2 (Donaucity);1220;Wien;öffentl.;13;VS; 8;182; 84; 98;Leonhard Bernstein-Str. 2 (Donaucity), 1220 Wien;48,2350174;16,4100614
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf1;922371;92201;Wien-Donaustadt;Volksschule;Attemsgasse 22;1220;Wien;öffentl.;13;VS; 9;201;111; 90;Attemsgasse 22, 1220 Wien;48,2481041;16,4349199
Feature;ATLAS_SCHULE.fid--a89b1a8_17086690ec6_-6cf0;922321;92201;Wien-Donaustadt;Volksschule;Am Kaisermühlendamm 2;1220;Wien;öffentl.;13;VS;10;212;122; 90;Am Kaisermühlendamm 2, 1220 Wien;48,2265628;16,4189627
