pair_indicator;school_1;school_2;difference;diff_abs;school_1_lat;school_1_long;school_2_lat;school_2_long;address1;address2;school_1_erhalter;school_2_erhalter;school_erhalter_indicator;erhalter_type;school_1_n_rel;school_2_n_rel;tooltip;diff_factor;distance
902021-902071;902021;902071;-0,31667741242209;0,31667741242209;48,2149026;16,3876769;48,2186668;16,3853998;Volksschule, Czerninplatz 3, 1020;Volksschule, Novaragasse 30, 1020;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,329787234043;0,646464646465;"Volksschule, Czerninplatz 3, 1020, Wien, öffentl., 33%
Volksschule, Novaragasse 30, 1020, Wien, öffentl., 65%";1,96024763767;475,2529684845
902031-902071;902031;902071;-0,36288255691241;0,36288255691241;48,2221631;16,3848147;48,2186668;16,3853998;Volksschule, Darwingasse 14, 1020;Volksschule, Novaragasse 30, 1020;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,283582089552;0,646464646465;"Volksschule, Darwingasse 14, 1020, Wien, öffentl., 28%
Volksschule, Novaragasse 30, 1020, Wien, öffentl., 65%";2,27963849016;379,0377208616
902031-902091;902031;902091;-0,36115475255302;0,36115475255302;48,2221631;16,3848147;48,2240700;16,3847968;Volksschule, Darwingasse 14, 1020;Volksschule, Vereinsgasse 29, 1020;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,283582089552;0,644736842105;"Volksschule, Darwingasse 14, 1020, Wien, öffentl., 28%
Volksschule, Vereinsgasse 29, 1020, Wien, öffentl., 64%";2,27354570637;203,6641400739
902081-902101;902081;902101;-0,09230769230769;0,09230769230769;48,2205238;16,4049726;48,2235320;16,4028950;Volksschule, Schönngasse 2, 1020;Volksschule, Vorgartenstraße 191, 1020;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,307692307692;0,400000000000;"Volksschule, Schönngasse 2, 1020, Wien, öffentl., 31%
Volksschule, Vorgartenstraße 191, 1020, Wien, öffentl., 40%";1,30000000000;395,8339316511
902081-902241;902081;902241;-0,17715617715618;0,17715617715618;48,2205238;16,4049726;48,2231059;16,4063758;Volksschule, Schönngasse 2, 1020;Volksschule 2, Wehlistraße, Wehlistraße 178, 1020;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,307692307692;0,484848484848;"Volksschule, Schönngasse 2, 1020, Wien, öffentl., 31%
Volksschule 2, Wehlistraße, Wehlistraße 178, 1020, Wien, öffentl., 48%";1,57575757576;316,9061306841
902101-902241;902101;902241;-0,08484848484848;0,08484848484848;48,2235320;16,4028950;48,2231059;16,4063758;Volksschule, Vorgartenstraße 191, 1020;Volksschule 2, Wehlistraße, Wehlistraße 178, 1020;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,400000000000;0,484848484848;"Volksschule, Vorgartenstraße 191, 1020, Wien, öffentl., 40%
Volksschule 2, Wehlistraße, Wehlistraße 178, 1020, Wien, öffentl., 48%";1,21212121212;390,1434258679
903031-903041;903031;903041; 0,23651162790698;0,23651162790698;48,1938769;16,3929552;48,1913026;16,3894735;Volksschule, Eslarngasse 23, 1030;Volksschule, Kleistgasse 12, 1030;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,690000000000;0,453488372093;"Volksschule, Eslarngasse 23, 1030, Wien, öffentl., 69%
Volksschule, Kleistgasse 12, 1030, Wien, öffentl., 45%";1,52153846154;475,1858833380
903081-903141;903081;903141;-0,23108504398827;0,23108504398827;48,1938325;16,3997936;48,1919646;16,3988674;Volksschule, Petrusgasse 10, 1030;Volksschule, Landstraßer Hauptstraße 146, 1030;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,381818181818;0,612903225806;"Volksschule, Petrusgasse 10, 1030, Wien, öffentl., 38%
Volksschule, Landstraßer Hauptstraße 146, 1030, Wien, öffentl., 61%";1,60522273425;224,5450544223
907011-908021;907011;908021;-0,26873811033608;0,26873811033608;48,2060087;16,3416643;48,2095209;16,3409615;Volksschule, Neustiftgasse 98-102, 1070;Volksschule, Pfeilgasse 42b, 1080;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,289156626506;0,557894736842;"Volksschule, Neustiftgasse 98-102, 1070, Wien, öffentl., 29%
Volksschule, Pfeilgasse 42b, 1080, Wien, öffentl., 56%";1,92938596491;383,2521860638
908011-908031;908011;908031;-0,47638081395349;0,47638081395349;48,2102456;16,3520400;48,2079047;16,3499886;Volksschule, Lange Gasse 36, 1080;Volksschule, Zeltgasse 7, 1080;öffentl.;öffentl.;öffentl.-öffentl.;öffentl. - öffentl.;0,476744186047;0,953125000000;"Volksschule, Lange Gasse 36, 1080, Wien, öffentl., 48%
Volksschule, Zeltgasse 7, 1080, Wien, öffentl., 95%";1,99923780488;338,6337580877
