country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
AT;Austria;NA;NA;NA;NA;NA;2020-02-15T00:00:00Z;9;1;42;13;0;-2
AT;Austria;NA;NA;NA;NA;NA;2020-02-16T00:00:00Z;15;21;42;12;1;-2
AT;Austria;NA;NA;NA;NA;NA;2020-02-17T00:00:00Z;9;5;35;3;-4;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-18T00:00:00Z;8;5;40;2;-4;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-19T00:00:00Z;4;2;10;-1;-5;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-20T00:00:00Z;4;1;13;2;-5;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-21T00:00:00Z;1;4;7;-2;-5;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-22T00:00:00Z;9;3;52;14;2;-2
AT;Austria;NA;NA;NA;NA;NA;2020-02-23T00:00:00Z;4;23;4;5;2;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-24T00:00:00Z;9;10;25;3;2;-1
AT;Austria;NA;NA;NA;NA;NA;2020-02-25T00:00:00Z;13;10;60;7;0;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-26T00:00:00Z;-3;10;8;-2;0;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-27T00:00:00Z;1;7;9;0;1;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-28T00:00:00Z;-1;9;-1;-2;1;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-29T00:00:00Z;2;3;9;0;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-01T00:00:00Z;0;8;6;1;2;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-02T00:00:00Z;2;6;16;1;3;-1
AT;Austria;NA;NA;NA;NA;NA;2020-03-03T00:00:00Z;-1;4;-1;-3;2;1
AT;Austria;NA;NA;NA;NA;NA;2020-03-04T00:00:00Z;2;5;12;0;2;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-05T00:00:00Z;1;3;4;0;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-06T00:00:00Z;-1;3;-7;-2;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-07T00:00:00Z;4;0;-2;-3;0;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-08T00:00:00Z;14;14;42;5;1;-2
AT;Austria;NA;NA;NA;NA;NA;2020-03-09T00:00:00Z;-1;4;2;-3;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-10T00:00:00Z;-3;10;9;-3;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-11T00:00:00Z;-6;17;12;-8;-1;1
AT;Austria;NA;NA;NA;NA;NA;2020-03-12T00:00:00Z;-10;24;18;-9;-3;2
AT;Austria;NA;NA;NA;NA;NA;2020-03-13T00:00:00Z;-20;46;-20;-20;-6;5
AT;Austria;NA;NA;NA;NA;NA;2020-03-14T00:00:00Z;-35;-7;-17;-34;-9;8
AT;Austria;NA;NA;NA;NA;NA;2020-03-15T00:00:00Z;-59;-32;-13;-43;-18;8
AT;Austria;NA;NA;NA;NA;NA;2020-03-16T00:00:00Z;-71;-14;-37;-56;-43;19
AT;Austria;NA;NA;NA;NA;NA;2020-03-17T00:00:00Z;-79;-32;-43;-66;-55;24
AT;Austria;NA;NA;NA;NA;NA;2020-03-18T00:00:00Z;-79;-30;-24;-65;-58;24
AT;Austria;NA;NA;NA;NA;NA;2020-03-19T00:00:00Z;-80;-29;-32;-67;-60;25
AT;Austria;NA;NA;NA;NA;NA;2020-03-20T00:00:00Z;-81;-28;-32;-68;-59;26
AT;Austria;NA;NA;NA;NA;NA;2020-03-21T00:00:00Z;-88;-39;-73;-75;-54;20
AT;Austria;NA;NA;NA;NA;NA;2020-03-22T00:00:00Z;-90;-69;-60;-76;-54;15
AT;Austria;NA;NA;NA;NA;NA;2020-03-23T00:00:00Z;-79;-31;-57;-71;-60;25
AT;Austria;NA;NA;NA;NA;NA;2020-03-24T00:00:00Z;-80;-32;-44;-71;-61;26
AT;Austria;NA;NA;NA;NA;NA;2020-03-25T00:00:00Z;-81;-34;-58;-73;-62;27
AT;Austria;NA;NA;NA;NA;NA;2020-03-26T00:00:00Z;-81;-31;-59;-72;-62;27
AT;Austria;NA;NA;NA;NA;NA;2020-03-27T00:00:00Z;-80;-26;-39;-70;-60;27
AT;Austria;NA;NA;NA;NA;NA;2020-03-28T00:00:00Z;-83;-31;-21;-66;-49;17
AT;Austria;NA;NA;NA;NA;NA;2020-03-29T00:00:00Z;-87;-64;-43;-71;-51;14
AT;Austria;NA;NA;NA;NA;NA;2020-03-30T00:00:00Z;-78;-31;-57;-71;-59;25
AT;Austria;NA;NA;NA;NA;NA;2020-03-31T00:00:00Z;-77;-24;-47;-69;-59;25
AT;Austria;NA;NA;NA;NA;NA;2020-04-01T00:00:00Z;-77;-30;-34;-67;-59;24
AT;Austria;NA;NA;NA;NA;NA;2020-04-02T00:00:00Z;-77;-29;-36;-68;-59;25
AT;Austria;NA;NA;NA;NA;NA;2020-04-03T00:00:00Z;-79;-25;-46;-69;-59;26
AT;Austria;NA;NA;NA;NA;NA;2020-04-04T00:00:00Z;-82;-30;-36;-67;-48;17
AT;Austria;NA;NA;NA;NA;NA;2020-04-05T00:00:00Z;-82;-55;-11;-64;-46;12
AT;Austria;NA;NA;NA;NA;NA;2020-04-06T00:00:00Z;-73;-26;-22;-64;-58;22
