page_id;page_name;page_type;party;impressions_category;impressions_lower_bound;impressions_upper_bound;impressions_mid
293216668136559;Ernst Woller;individual;SPÖ;2000-2999;2000;2999;2499,5
328018270709073;Michael Ludwig;individual;SPÖ;0-999;0;999;499,5
328018270709073;Michael Ludwig;individual;SPÖ;0-999;0;999;499,5
88108406133;SPÖ Wien;institutional;SPÖ;0-999;0;999;499,5
88108406133;SPÖ Wien;institutional;SPÖ;6000-6999;6000;6999;6499,5
114141426894419;Barbara Novak;individual;SPÖ;1000-1999;1000;1999;1499,5
1524874657771161;Christina Schlosser;individual;ÖVP;1000-1999;1000;1999;1499,5
987284708013190;NEOS Döbling;institutional;NEOS;1000-1999;1000;1999;1499,5
1929623263924061;Jürgen Czernohorszky;individual;SPÖ;10000-14999;10000;14999;12499,5
1230799187029951;Thomas Steinhart;individual;SPÖ;1000-1999;1000;1999;1499,5
103254964849185;Sektion Augarten;institutional;SPÖ;3000-3999;3000;3999;3499,5
88676876113;Die Grünen Wien;institutional;GREENS;25000-29999;25000;29999;27499,5
1524874657771161;Christina Schlosser;individual;ÖVP;0-999;0;999;499,5
135953609780627;Dominik Nepp;individual;FPÖ;10000-14999;10000;14999;12499,5
1650580648552563;Norbert Hofer;individual;FPÖ;100000-124999;100000;124999;112499,5
590930261019192;Maximilian Krauss;individual;FPÖ;25000-29999;25000;29999;27499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;2000-2999;2000;2999;2499,5
104455100970715;Marcus Schober;individual;SPÖ;3000-3999;3000;3999;3499,5
1644414509160673;Gernot Blümel;individual;ÖVP;5000-5999;5000;5999;5499,5
1644414509160673;Gernot Blümel;individual;ÖVP;2000-2999;2000;2999;2499,5
108596380831271;Michael Niegl;individual;FPÖ;5000-5999;5000;5999;5499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;2000-2999;2000;2999;2499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;0-999;0;999;499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;1000-1999;1000;1999;1499,5
1047221682152437;Christoph Wiederkehr;individual;NEOS;1000-1999;1000;1999;1499,5
580791221952500;NEOS Wien;institutional;NEOS;0-999;0;999;499,5
1047221682152437;Christoph Wiederkehr;individual;NEOS;0-999;0;999;499,5
580791221952500;NEOS Wien;institutional;NEOS;3000-3999;3000;3999;3499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;0-999;0;999;499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;1000-1999;1000;1999;1499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;1000-1999;1000;1999;1499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;1000-1999;1000;1999;1499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;0-999;0;999;499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;0-999;0;999;499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;0-999;0;999;499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;1000-1999;1000;1999;1499,5
104846060926468;Jörg Neumayer;individual;SPÖ;2000-2999;2000;2999;2499,5
104846060926468;Jörg Neumayer;individual;SPÖ;2000-2999;2000;2999;2499,5
104846060926468;Jörg Neumayer;individual;SPÖ;0-999;0;999;499,5
1693730624228317;SPÖ Donaustadt;institutional;SPÖ;0-999;0;999;499,5
104846060926468;Jörg Neumayer;individual;SPÖ;0-999;0;999;499,5
412341368977063;Hannes Taborsky;individual;ÖVP;5000-5999;5000;5999;5499,5
192920500725823;Wirtschaftsbund Wien | Wirtschaft in Wien;institutional;ÖVP;0-999;0;999;499,5
192920500725823;Wirtschaftsbund Wien | Wirtschaft in Wien;institutional;ÖVP;1000-1999;1000;1999;1499,5
1929623263924061;Jürgen Czernohorszky;individual;SPÖ;20000-24999;20000;24999;22499,5
1929623263924061;Jürgen Czernohorszky;individual;SPÖ;45000-49999;45000;49999;47499,5
104925644599798;Silvia Jankovic Margareten;individual;SPÖ;1000-1999;1000;1999;1499,5
88108406133;SPÖ Wien;institutional;SPÖ;5000-5999;5000;5999;5499,5
278348599465523;Josef Taucher;individual;SPÖ;1000-1999;1000;1999;1499,5
674977385874323;SPÖ Josefstadt;institutional;SPÖ;4000-4999;4000;4999;4499,5
88108406133;SPÖ Wien;institutional;SPÖ;5000-5999;5000;5999;5499,5
88108406133;SPÖ Wien;institutional;SPÖ;10000-14999;10000;14999;12499,5
676447579157395;Ingrid Korosec;individual;ÖVP;8000-8999;8000;8999;8499,5
1977684662509834;Herbert Kickl;individual;FPÖ;80000-89999;80000;89999;84999,5
1977684662509834;Herbert Kickl;individual;FPÖ;40000-44999;40000;44999;42499,5
108382604369624;Firas Saedaddin-Seite;individual;SPÖ;4000-4999;4000;4999;4499,5
590930261019192;Maximilian Krauss;individual;FPÖ;4000-4999;4000;4999;4499,5
88108406133;SPÖ Wien;institutional;SPÖ;4000-4999;4000;4999;4499,5
1977684662509834;Herbert Kickl;individual;FPÖ;150000-174999;150000;174999;162499,5
146097669338683;FPÖ Wien;institutional;FPÖ;15000-19999;15000;19999;17499,5
88108406133;SPÖ Wien;institutional;SPÖ;10000-14999;10000;14999;12499,5
88108406133;SPÖ Wien;institutional;SPÖ;10000-14999;10000;14999;12499,5
88108406133;SPÖ Wien;institutional;SPÖ;2000-2999;2000;2999;2499,5
88108406133;SPÖ Wien;institutional;SPÖ;3000-3999;3000;3999;3499,5
590930261019192;Maximilian Krauss;individual;FPÖ;50000-59999;50000;59999;54999,5
135953609780627;Dominik Nepp;individual;FPÖ;15000-19999;15000;19999;17499,5
135953609780627;Dominik Nepp;individual;FPÖ;60000-69999;60000;69999;64999,5
328018270709073;Michael Ludwig;individual;SPÖ;25000-29999;25000;29999;27499,5
135953609780627;Dominik Nepp;individual;FPÖ;40000-44999;40000;44999;42499,5
116009688435355;SPÖ Margareten;institutional;SPÖ;4000-4999;4000;4999;4499,5
135953609780627;Dominik Nepp;individual;FPÖ;90000-99999;90000;99999;94999,5
104455100970715;Marcus Schober;individual;SPÖ;4000-4999;4000;4999;4499,5
121538151580066;Peter Kraus;individual;GREENS;2000-2999;2000;2999;2499,5
121538151580066;Peter Kraus;individual;GREENS;1000-1999;1000;1999;1499,5
658997160869183;Andreas Babler;individual;SPÖ;3000-3999;3000;3999;3499,5
2160764594008027;Kasia Greco;individual;ÖVP;3000-3999;3000;3999;3499,5
600632777241872;Michael Trinko;individual;SPÖ;0-999;0;999;499,5
328018270709073;Michael Ludwig;individual;SPÖ;2000-2999;2000;2999;2499,5
328018270709073;Michael Ludwig;individual;SPÖ;10000-14999;10000;14999;12499,5
328018270709073;Michael Ludwig;individual;SPÖ;6000-6999;6000;6999;6499,5
292438384176831;Wiener SPÖ-Frauen;institutional;SPÖ;3000-3999;3000;3999;3499,5
88108406133;SPÖ Wien;institutional;SPÖ;20000-24999;20000;24999;22499,5
580791221952500;NEOS Wien;institutional;NEOS;0-999;0;999;499,5
1047221682152437;Christoph Wiederkehr;individual;NEOS;1000-1999;1000;1999;1499,5
580791221952500;NEOS Wien;institutional;NEOS;1000-1999;1000;1999;1499,5
580791221952500;NEOS Wien;institutional;NEOS;0-999;0;999;499,5
580791221952500;NEOS Wien;institutional;NEOS;0-999;0;999;499,5
580791221952500;NEOS Wien;institutional;NEOS;1000-1999;1000;1999;1499,5
580791221952500;NEOS Wien;institutional;NEOS;0-999;0;999;499,5
